唛头,快递单号,品名,件数,实际计算重量,实际收款泰铢,发货日期,快递状态
666-胖胖大码服装,79024370692712,食品,1,0.4,40,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-胖胖大码服装,435304913760717,衣物,1,0.4,40,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-胖胖大码服装,YT7637350072665,衣物,1,0.2,20,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-胖胖大码服装,773435720697771,食品,1,1,100,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-胖胖大码服装,YT7637336985286,牙刷,1,0.1,10,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-胖胖大码服装,79024441575465,袜子,1,0.2,20,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-胖胖大码服装,435305329282427,衣物,1,0.9,90,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-胖胖大码服装,JT3173291613304,鞋子,1,0.3,30,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-胖胖大码服装,435305097590161,衣物,1,0.6,60,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-胖胖大码服装,JT3173184924859,食品,1,2.925,292.5,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-胖胖大码服装,JT3173185410033,食品,1,2.925,292.5,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-胖胖大码服装,76965458433696,爬楼机,1,12.21733333,1221.733333,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-胖胖大码服装,SF1228156613822,日用品,1,2.8665,286.65,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-ayla,9818630036669,食品,1,0.7,70,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-ayla,YT0701896026020,镜子,1,0.2,20,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-ayla,JT5513740456107,衣架,1,1.92,192,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-ayla,YT0701462428647,发夹,1,0.1,10,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-ayla,YT7637599145847,衣物,1,0.1,10,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-ayla,777434343311596,灯具,1,1.536,153.6,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-ayla,JT5513782082201,日用品,1,0.7,70,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-ayla,777435004624752,食品,1,0.8,80,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-ayla,76965881964720,衣物,1,0.2,20,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-ayla,YT0063180122361,食品,1,0.6,60,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-damo,435305361353838,药品,1,0.2,26,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-damo,465573189823126,饵料,1,0.4,40,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-damo,SF1868508121553,化妆品,1,0.2,20,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-damo,YT7637513346576,食品,1,0.1,10,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-damo,JT5513277889116,衣架,1,3.4,340,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-damo,777433859958263,衣物,1,0.7,70,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-damo,JDV028999941646,药材,1,21.7,2170,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-bpw,SF1220172760411,药品,1,0.2,26,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-bpw,79024774919208,配件,1,0.1,10,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-bpw,YT7637657140135,配件,1,0.2,20,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-bpw,435306989635269,日用品,1,0.6,60,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-bpw,773435985501576,衣物,1,0.2,20,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-bpw,79024763961824,护肤品,1,0.4,40,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-LIQA,777434244467228,刀具,1,2,200,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-LIQA,777434500074489,日用品,1,5.6,560,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-LIQA,777434511109129,铁锅,1,18.7,1870,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-LIQA,JT5514075986372,锅盖,1,6.642,664.2,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-LIQA,JT5514075965440,锅盖,1,6.642,664.2,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-LIQA,465577617718187,餐盘,1,11.7,1170,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-殿殿,79024890560406,帽子,1,0.4,40,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-殿殿,435306292050198,帽子,1,0.3,30,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-殿殿,YT0062556198807,鞋子,1,0.9,90,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-殿殿,319393717272442,食品,1,0.2,20,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-殿殿,79023921899856,日用品,1,28.62933333,2862.933333,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-殿殿,79025020848574,日用品,1,36.92333333,3692.333333,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-马丁martin,YT7637445194678,筋膜枪,1,1.1,110,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-马丁martin,YT7637481290602,日用品,1,0.4,40,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-马丁martin,79024520253112,日用品,1,0.2,20,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-马丁martin,79024755867645,衣物,1,0.5,50,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-马丁martin,79024519662952,衣物,1,0.3,30,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-马丁martin,sf0215386329867,日用品,1,9.89,989,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-bxc,YT7637526103935,食品,1,0.8,80,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-bxc,76965119277151,日用品,1,0.1,10,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-bxc,79024593642104,食品,1,1.1,110,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-bxc,435305569466345,食品,1,0.9,90,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-bxc,79024573318176,食品,1,0.9,90,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-cgw,76965899982704,牙刷,1,0.2,20,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-cgw,770338210829706,牙刷,1,0.2,20,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-cgw,79130278119368,食品,1,1.248,124.8,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-cgw,73600661427530,日用品,1,0.7,70,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-cgw,79130277604406,食品,1,2.606666667,260.6666667,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-csw,SF1226172160525,食品,1,0.7,70,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-csw,76965700420009,食品,1,1.5,150,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-csw,76965823895695,食品,1,0.6,60,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-csw,770338189108144,食品,1,2.6,260,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-csw,79024589143696,衣物,1,1.1,110,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-mph,76965534428457,日用品,1,0.1,10,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-mph,76965604474289,鞋子,1,0.4,40,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-mph,YT0062901013753,食品,1,0.3,30,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-mph,770337867768613,日用品,1,0.4,40,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-mph,76965277137008,衣物,1,0.3,30,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-超人,79024989400828,衣物,1,0.2,20,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-超人,773436146594121,衣物,1,0.4,40,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-超人,435307949001926,衣物,1,0.4,40,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-超人,YT7637809556227,衣物,1,0.1,10,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-超人,YT7637842336727,衣物,1,0.2,20,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-陈九公,YT7637373685895,衣物,1,0.2,20,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-陈九公,773435723488994,衣物,1,0.1,10,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-陈九公,435305574216282,衣物,1,0.2,20,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-陈九公,773435760698535,衣物,1,0.3,30,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-陈九公,773435836865149,衣物,1,0.4,40,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-娜娜,JT5514030726286,衣物,1,0.7,70,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-娜娜,465572812340514,衣物,1,0.4,40,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-娜娜,73721251118451,衣物,1,1.9,190,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-娜娜,79129823897017,衣物,1,0.4,40,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-娜娜,JT5514013068338,衣物,1,0.3,30,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-bqh,YT0062612096410,沐浴露,1,1.2,120,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-bqh,770338007913908,日用品,1,0.1,10,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-bqh,9822941902174,剪刀,1,0.4,40,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-bqh,YT0062626265181,日用品,1,2.24,224,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-jian,73669952340339,日用品,1,0.1,10,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-jian,75963924158826,手串,1,0.1,10,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-jian,772074937256050,衣物,1,0.7,70,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
