唛头,快递单号,品名,件数,实际计算重量,实际收款泰铢,发货日期,快递状态
KZ-BKK-A,FLASHMRHW9ZZ9RT,充电线,12,7.89,490.8,2026-08-12,运输中
KZ-BKK-A,FLASH7TF3RG3JU4SOHI,运动护具,1,2.51,125.55,2026-08-12,已发运
KZ-BKK-A,JTA4G8H0UGALFWDM,鞋靴,13,11.06,499.44,2026-08-12,清关中
KZ-BKK-A,FLASHCRSSVC7UOWJ2U,家居收纳,22,13.45,755.06,2026-08-12,已发运
KZ-BKK-A,KY610LTVL3XM62,日用百货,2,2.65,169.19,2026-08-19,派送中
KZ-BKK-A,SPXCGIIC0FLL74ERV,运动护具,19,22.97,1228.59,2026-08-19,清关中
KZ-BKK-A,SFWYUV7I4FI2YR0,手机壳,16,13.61,487.85,2026-08-19,派送中
KZ-BKK-A,SFIU2GQHTL0C5AT,鞋靴,7,12.93,624.49,2026-08-19,已签收
SH-LAZADA-09,JTHGMO9RXEU4H3W,鞋靴,14,20.57,869.89,2026-08-14,已揽收
SH-LAZADA-09,SF2LBB2YRRZY96E,充电线,19,15.23,602.36,2026-08-14,派送中
SH-LAZADA-09,JTVCBVAXX3X1F2NK,手机壳,14,29.93,1692,2026-08-14,运输中
SH-LAZADA-09,THP4ECNWMEQ16XZ0M,化妆品,15,18.42,548.68,2026-08-14,清关中
SH-LAZADA-09,FLASHAB0P3IOUNVVDK9,家居收纳,8,16.61,583.61,2026-08-14,运输中
SH-LAZADA-09,BESTAA9QO967DTAV20,运动护具,18,18.58,740.72,2026-08-14,已揽收
SH-LAZADA-09,SPX0HFT2FDDMGNDVT,童装,11,11.28,582.03,2026-08-13,已揽收
SH-LAZADA-09,BESTK5TXO7P4Z9K,服装,19,35.95,1585.56,2026-08-13,已揽收
SH-LAZADA-09,SPXDENH9IVS7T9,运动护具,17,7.52,326.7,2026-08-13,已揽收
SH-LAZADA-09,SPXI24VYJPNP1GD,手机壳,7,11.53,681.75,2026-08-13,已发运
SH-LAZADA-09,FLASHG1M16OZ66U,鞋靴,2,1.14,35.05,2026-08-13,已揽收
SH-LAZADA-09,FLASHH8QDONNQZR3H,鞋靴,15,7.01,281.58,2026-08-13,已签收
SH-LAZADA-09,FLASH05VQJQEAVLOXJS,手机壳,19,38.58,1576.12,2026-08-16,已揽收
SH-LAZADA-09,FLASHBGLBYPBYULBDUG,鞋靴,15,19.06,622.09,2026-08-16,清关中
SH-LAZADA-09,SFMR355XPCFTIXQO,家居收纳,9,4.06,243.38,2026-08-16,已发运
SH-LAZADA-09,FLASH45E001QWCEFX,运动护具,2,4,172.13,2026-08-16,已揽收
SH-LAZADA-09,SPX7BTISQ87P4N,运动护具,21,11.82,618.49,2026-08-16,已签收
GZ-SHOPEE-B,FLASH5W5CH4LZ4EAA,服装,23,47.17,1907.6,2026-08-18,运输中
GZ-SHOPEE-B,KYBDWRQ3WFMFZ42,服装,6,8.17,273.67,2026-08-18,派送中
GZ-SHOPEE-B,THP1PE5M2Z8HXZUKX,家居收纳,17,14.66,578.99,2026-08-18,已揽收
GZ-SHOPEE-B,SPXJOIIGZAJZS,箱包配件,18,24.58,688.52,2026-08-18,派送中
GZ-SHOPEE-B,BESTR7DYVLDGXZN8B,日用百货,13,28.5,1273.44,2026-08-18,清关中
GZ-SHOPEE-B,FLASH5PB24SN13MGR,日用百货,13,26.14,769.98,2026-08-18,运输中
GZ-SHOPEE-B,JTH61E2SUZCD5GG,鞋靴,23,18.32,1093.72,2026-08-12,派送中
GZ-SHOPEE-B,JT4CD40UM2IAWX68,充电线,12,17.71,521.01,2026-08-12,已揽收
GZ-SHOPEE-B,BEST5LMIYRGTASQ6,手机壳,6,8.53,303.38,2026-08-12,清关中
YW-TIKTOK-03,JT3O6THIV3DK,服装,2,4.01,265.07,2026-08-12,已发运
YW-TIKTOK-03,KY2QULMU8SWX11,家居收纳,13,9.75,338.08,2026-08-12,清关中
YW-TIKTOK-03,THPHQ5IDS7CRD,日用百货,1,3.09,131.98,2026-08-12,运输中
YW-TIKTOK-03,THPN42HE2UK8JU,化妆品,6,9.02,427.83,2026-08-13,运输中
YW-TIKTOK-03,SPX0DQZOU2LTCCF0,充电线,9,7.17,456.41,2026-08-13,已揽收
